,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104
HK-2 [Human kidney],0.86385787,0.45250067,1.4957896,-0.70646363,0.24370031,2.1150157,2.1878731,-0.12912124,2.2288299,0.9636204,0.26119876,-0.75292325,-0.34495017,-0.25442922,1.4082252,2.3142326,-1.287301,-1.5489155,-2.0757895,1.0056274,-0.83958256,1.7729096,0.95871544,3.0564146,-2.0814896,3.2160757,-0.45954868,-0.76777405,0.68163294,-0.07247299,0.51638556,-1.8878292,3.7451677,-1.2283373,4.280829,4.4723587,-1.7014171,-0.85500425,-2.6469939,-2.1003346,2.5911326,-1.724026,-0.15453923,1.5821646,1.3448399,-1.7800707,-0.7047695,2.3189824,0.49974608,-3.618981,2.5331855,2.7905548,-2.7604883,2.9538693,0.7956464,1.1438239,0.08803006,-2.9155252,0.5250603,-2.0370138,-0.2057735,-0.55591345,2.0759134,-4.245341,-0.9812601,2.7787278,0.053611346,2.1611023,1.0196618,-1.5510285,1.7009495,-0.8426325,2.0640416,-2.0793269,-0.65754145,1.3831515,1.1472818,1.5215688,-1.2173426,-3.7081544,-1.6775444,-1.1889396,3.2503583,-0.25822186,-0.53935325,-0.9812897,-1.6207252,-1.4678091,2.5680046,1.4241561,1.7167634,-0.5788479,-0.2655887,-1.9792913,0.80533963,0.24654804,-0.317866,-0.53853285,1.9069573,-2.0363607,-1.0135094,-0.53004813,-4.370976,1.3019397,1.4897666
GCIY,1.0162375,-2.3131185,-2.9233396,1.6861905,-2.2808762,0.32915047,-1.1441158,0.88093305,-2.2995226,4.1403494,0.9867646,2.6941595,-4.884652,2.2844965,-0.5380653,-0.7886403,-1.4049606,0.12034628,4.7441316,-0.3394432,-1.4168749,1.8758472,-3.6854765,-0.29250106,-1.1197587,-0.627191,-2.9595351,-0.62151724,0.7635063,-0.44030026,2.7442644,-2.8088336,0.19256562,1.9475408,-4.15636,3.1576095,-1.1956207,-1.6657916,2.5727139,-1.1858269,7.6317673,-0.3138442,-2.0611708,3.8890698,-2.4023883,-1.7483567,0.5288201,3.5943341,-4.589528,6.4395266,1.7972635,-0.9729508,-0.9801631,3.8345845,-2.3430636,1.5434091,0.97241354,-4.9795904,-0.6562523,-1.3770862,-0.8603194,1.0901827,1.3333735,2.5662005,-1.1708204,-1.9120818,0.0976575,2.6126504,-0.06340159,0.67775726,0.10618269,-0.33301175,2.5985575,3.8680615,-2.7515988,-2.3357806,1.9888711,-3.4239035,-0.8876313,-3.8226898,-1.5140646,-0.3454153,3.993153,-3.9785976,-3.138233,1.7659042,3.1270041,-0.79759866,0.29220152,0.6582089,-3.1476963,-1.0154634,0.94310427,-2.7795887,4.903011,-3.807531,-2.7022412,-4.1017146,0.9843186,0.07525277,-3.9394774,1.3661855,-2.2093253,-0.54067594,2.3490753
MDA-MB-231,0.6076858,2.0632107,-0.97235394,1.3467532,-0.23203817,-1.5736669,-1.3918747,-1.1746918,4.9429235,0.6084684,1.3025717,-0.6872301,0.88167393,-0.08177229,0.58183014,-1.4475477,1.5399959,-0.7878619,0.60745716,0.4973076,2.029448,-0.3092447,0.3623046,-1.5823841,-2.3723059,-1.5329266,-0.84088266,0.5746996,1.4648488,1.9187628,0.2436989,0.62723315,-0.96600556,1.7976304,-1.1027249,0.8231478,-2.2080524,-0.6765595,-0.8609723,-0.9461154,0.691728,-1.587536,3.2402565,-1.028904,-2.2078156,0.23008683,1.6653278,-1.114634,-2.0359082,-1.1169479,-0.22970566,-0.5877692,-1.9482002,0.99992824,-2.1880903,-2.6133206,-1.1771191,-2.202339,-1.3465865,4.4897256,2.6089315,1.0996959,3.0113368,1.5910457,0.26423213,3.0698116,1.2187077,-0.943274,-0.4992524,-0.114520125,1.7814465,2.9927304,2.6517391,1.8352945,0.8927738,-0.30002412,-1.503688,-2.4625504,-1.2483683,-1.3700866,-0.7676655,-0.96305674,-3.616852,2.0776641,-2.324305,-0.2810753,0.34348053,-2.4087489,-0.22416815,-0.46607852,-0.74150014,-0.8929927,2.6755893,-0.056399085,2.166277,0.76726264,-0.8867391,-1.339529,0.110365674,-1.1412474,1.152631,-2.056769,0.86652493,-1.6507401,-0.5980689
OVISE,0.8935405,3.097186,-1.6832125,0.022444244,1.6758502,2.0696118,3.2882836,1.0506576,-1.8305233,0.5878448,2.1771739,2.357121,-4.6493573,-0.99927074,-0.5427467,2.8423216,-2.557131,-2.0650475,1.3622198,1.2827834,-1.770611,0.17545728,0.4564071,1.4337692,3.2097077,2.201421,-2.3261995,-2.2079973,2.6301308,0.65628123,0.8856459,1.1204653,-1.4483054,-2.2379518,0.09490946,1.0742444,-1.4949738,1.3523297,2.4344954,0.5203341,3.6250484,1.5205721,-1.61907,1.7296393,0.62906593,2.0424695,-2.6386654,0.79667276,-4.8582172,-0.6388903,0.83217263,3.3737006,-0.18617238,1.4891896,-0.8087116,-1.1962241,2.96684,-5.0787024,-3.1148725,-1.8310058,-3.032613,0.052220806,-0.61354977,-0.56431586,-0.7247262,-1.3201754,0.8844795,2.3393505,0.54864085,1.638806,-2.2722054,0.5586852,0.5401537,-0.254352,-2.9848921,0.49306053,0.35773706,-2.020826,-1.5972576,-1.5889019,0.82280093,1.3069273,2.2914739,-3.7476711,-2.5055847,2.5411966,1.4569695,-0.87767494,1.3060805,0.61116505,0.83836484,-0.88484436,1.5996665,-4.7649198,0.052939013,0.4604747,-4.719456,-2.1849573,-1.0738608,-2.3314195,-1.2268509,0.054306507,-3.6078863,0.9535939,2.043622
NB4,-1.1788133,-0.9008384,-1.5964742,-1.2933075,-2.1053877,-4.5205708,1.3740798,-0.6680267,-1.5625072,-0.936276,4.7462244,5.212257,3.5029652,0.18128978,-1.554625,1.9519475,-1.0052565,-2.776747,0.9002481,2.4283,-0.6769975,0.09714745,2.201262,-2.6927474,-1.6631466,-0.8853561,-1.7816572,0.16103992,2.808564,-0.9799446,-3.362334,-2.9527214,-5.086937,0.5947532,-3.9002984,0.056684755,-1.6708664,2.2892327,-1.5233448,0.4094847,-1.4831581,3.243792,0.13226008,-0.9445865,-2.7772994,0.082976565,-1.5526356,0.13620809,2.0129805,3.4654562,-0.3742811,-2.8823836,-1.8414905,-2.8880522,-1.514828,-4.4655704,-1.1989012,4.613002,-2.354247,0.12056291,2.0270224,1.4220232,0.19281918,0.74096096,0.56876147,0.24886706,-0.35242546,-1.4122332,-0.6298007,1.3138328,1.7352929,-2.3229573,2.0475152,-0.5181161,-0.8035723,0.8071346,1.0172912,1.9106199,-0.067472234,2.6882946,1.491064,-1.6444287,-2.735046,-2.1784406,3.2077527,-1.6262833,4.302606,3.8942468,1.4742867,4.327983,-4.2728677,-1.7959813,-2.6109447,-0.6049516,-1.2082152,2.0311441,2.1042879,1.3389399,-3.4030068,0.14744815,-2.262555,-0.41731194,-0.0622778,1.9674598,0.7156047
NCI-H1793,1.5911765,3.090828,-0.66741884,-3.1337764,-0.43973053,-4.1986976,2.0433147,-0.7026708,0.068235755,-0.39786088,2.6252184,1.8032069,-1.9891375,-0.52804244,-0.8445481,-0.23215792,-1.4265455,-3.1545715,2.3810415,-0.01228036,-1.1801996,1.183646,0.35111132,2.3046286,0.84952426,-0.38523188,-1.0184531,2.4530578,2.1687112,3.7908525,2.9026277,-2.8267462,-2.9278889,-1.8417605,-0.12326107,2.091803,-0.7082829,0.8286577,0.801231,-0.6280246,7.2445164,1.3744023,-0.2634799,-1.4909389,0.6086253,2.285274,0.019504305,0.14399093,-2.7963495,1.408267,-1.6602952,-1.9756098,3.246226,-1.1668435,-2.0161355,-1.6133223,0.11443028,-1.8300894,-1.1217153,0.005824702,-0.2920496,1.5166044,2.6039813,1.1953293,-0.043389466,1.2771754,2.1428127,-1.3640631,1.0685782,1.7527645,-0.6617901,0.90117246,0.50467384,4.2422953,-3.3728716,-0.08821681,-0.58748883,-1.4407661,-2.9881463,-1.5108271,3.009067,-1.5936439,-1.3214273,-2.212059,-2.2906454,-0.8580023,0.2986343,0.48497975,1.3977923,1.5557165,-0.7362147,-2.0595298,1.7903198,-4.652137,1.0028954,-1.5512717,-3.038678,-2.7419894,-2.771982,-4.8551245,-3.1233346,0.9199549,-0.2681225,-3.7512288,-0.36044213
FTC-133,-0.46924528,3.5416265,1.5837835,-0.9152015,-0.7032872,-6.471816,0.49492872,-1.2313212,2.7729297,-0.41532245,-0.03509208,4.1029263,0.90770185,0.8238582,-0.103627026,-0.52012396,-0.17758773,-1.2587647,2.3372073,-0.8008445,-2.3993201,1.7577918,-0.6127006,2.3313372,-0.19849464,0.25980747,0.5336636,2.9785624,1.940983,-1.841446,-2.5687659,-3.145813,-1.6842327,-1.5355011,-3.4181385,2.9448657,3.953562,5.182125,-0.527316,-1.5354792,1.7066566,-1.286689,0.4130618,0.50217354,-0.36853904,0.31971067,2.8041406,-1.6456771,0.8105342,0.47146708,-0.3574123,-0.11570084,-2.7974107,1.6312376,-2.6881301,-3.809823,-2.9835258,0.8277246,-2.03914,1.7568923,-1.004075,0.80766475,2.7659504,2.799088,-2.9550514,2.8775806,0.87523484,-1.4700003,-1.0597241,3.9091785,-0.3675947,1.9977283,-0.053840213,0.4412441,0.92249334,0.3607896,2.1878319,0.06432623,0.8879161,-0.28691098,3.2971313,-1.6093974,-2.488757,-0.122220844,-3.15679,-0.46356452,0.6007253,3.947679,0.20439191,2.7686017,-3.918589,-2.474984,2.9221656,-4.1230693,-2.024357,2.2863412,-0.19731602,-3.9155984,-1.2756678,-1.6304802,-5.7937713,-1.5559884,2.014058,-1.1552938,1.5704764
CAL-120,-2.3514297,1.0412908,-1.2586946,-0.44330603,-0.04992918,0.29850355,-2.2215593,1.1919165,3.1144702,-0.04286995,5.2525735,0.90649414,-0.19631031,-1.315994,-2.295485,-1.0325421,-1.289768,-1.3500948,1.395783,-0.46602,1.0263762,1.1787882,0.5390691,3.707666,-1.4631252,-0.20523989,-1.6331792,2.5721545,2.0103588,3.1738048,1.1012366,-2.8545618,-3.9728487,-0.9421773,-0.18471698,2.6355283,-0.16674434,-0.7027944,2.579453,2.0006402,4.8458753,2.1367757,1.0977546,0.008986543,-0.41692057,-1.9688573,-2.3358228,0.39895052,-3.98434,-0.26304346,-3.4011426,-1.9522283,2.2850828,-0.7114273,-1.1742301,-0.13402781,-4.4759426,-2.8588443,2.5757513,-1.2964025,-0.2351174,0.20497002,0.3965132,-2.4867043,-3.507596,0.5909936,-2.5822446,0.11691686,1.8160875,-3.731363,-0.9399327,2.1440296,0.17459556,3.2746975,0.07903957,-1.4530077,1.0441078,-4.1979365,-1.9198112,-0.20397213,2.3869424,-0.9767728,-2.9624126,0.24968353,-4.504739,1.3567452,0.7854122,-4.7117763,-0.37040922,1.9710828,-0.9201156,-2.8517845,1.8074737,-2.992521,0.21095623,2.2478275,-2.2542186,-4.399832,0.08163625,-4.3721905,1.1970206,0.87812245,2.7797446,-4.9601912,-1.746903
TCC-PAN2,-1.7119188,3.9359953,-2.8905518,-1.5833342,-0.33949807,-3.1596923,-0.95567864,0.6651814,-1.5752897,0.18920392,0.8033715,0.6085967,0.17088225,-2.220784,-0.7862539,-3.0425892,-2.1730072,-1.2764956,-2.1833143,3.4685578,-2.891741,1.0737712,0.25937623,-0.6704361,2.1942406,-1.5233115,-1.5163087,0.6195213,-0.059721246,-0.45445812,0.08971535,-1.9893969,-1.4414797,-1.3929046,-3.3430815,2.0099196,-0.21788774,1.1703916,-2.2534728,-2.5064485,0.98902,0.7522409,1.2292964,-0.03202164,-1.3235465,3.9358501,-0.9660587,-0.45506933,-1.9014521,2.4640872,4.837389,-2.213495,-2.4484332,-1.3507607,-0.84966546,-4.6580405,-0.000107297674,1.2194133,-2.5095315,-0.080709085,-1.6474496,-0.105693616,1.7679598,4.0552073,-1.3695203,1.5707902,0.06046258,-1.3711005,-0.24369326,-0.92574966,0.9731022,-0.014890172,2.6799862,6.2106857,0.095156185,-1.4341308,-1.7999347,-0.8899162,0.18819432,-0.46277267,0.3532092,-1.6032827,-3.3412173,-0.763859,-0.69360435,-2.1186101,-0.029695317,1.0238682,2.2896483,0.74264485,-1.2571033,-1.148683,3.0878415,-0.45116845,-0.94812596,0.1510026,-1.7311956,-0.5978045,-1.0921133,1.0265732,-0.2937495,0.18233463,0.41926897,1.0986558,-1.7690288
COLO 668,1.5434251,-1.4772443,-0.39865592,-0.65612614,-0.0865525,2.0854225,0.98986566,-0.15811804,-1.1252929,-1.2445413,-2.5780492,1.5572784,-0.2520891,-1.3622967,0.3227676,0.702415,0.18598549,-1.0157185,-0.23379943,-0.0869727,-0.9752521,0.20235619,-2.1595955,0.43258563,-0.23536855,-1.4095335,2.447187,-3.4488363,-4.194309,2.2846632,-1.5859524,-0.6792338,2.995375,-1.6722527,-0.7546683,-1.2226127,-2.3541806,-1.004863,-0.7262034,-0.90688413,-1.3333552,-1.2831802,-0.22173133,3.8206599,1.2589316,0.006558016,1.167325,-2.2274919,1.9620297,-1.4085158,-0.021166086,-1.358995,1.0145639,0.99200857,-0.16559863,1.802547,-1.4843781,-0.18699452,1.7737764,-0.22483967,4.1728725,1.0490382,0.2398984,-2.526135,1.4026493,-1.2513206,0.4534889,-1.0316976,1.9586773,0.70072985,2.620655,-4.5481296,1.6502856,-3.7202678,2.169488,0.9345471,-0.08167566,0.4922889,1.5609399,-2.1297367,-0.24371016,-1.867727,0.10360205,0.0011927634,-0.4939331,-0.20894657,0.5853099,1.215995,-1.6574312,-2.2922664,-0.10961035,0.25382304,-0.2856939,1.2303163,-0.7649253,-1.4455845,1.7545642,0.8121305,1.344584,-1.2613407,0.25916034,1.1405808,-1.3655292,-2.4096754,-0.12995283
FTC-238,-4.759934,2.83728,0.28408995,-1.0511688,-2.6720588,-5.097693,0.39952573,-0.82523775,0.29395407,-4.6136003,-0.032299854,-2.6409366,0.7111426,1.7959515,-3.1354518,-0.105268255,-0.7225403,0.75706464,4.6498194,-0.6883817,-3.164093,-0.8786444,-0.014903925,2.0419817,-0.7101279,0.035760313,0.20238206,0.432248,1.8200003,-0.2415063,-2.5563097,-2.5394893,-1.6090522,-2.7042677,-6.3233833,2.3313277,2.1720793,7.973113,-3.458858,-1.1421776,1.748764,-0.15122284,4.429575,0.6177009,-1.6134936,-1.5566639,3.087538,-2.191058,0.5231921,-0.07709864,-4.142236,3.2606637,0.113277495,0.97860104,-2.0108259,-2.5062914,-0.01897733,0.12715977,-4.8246613,1.5998352,2.463464,-2.7507465,2.2517383,4.0748916,0.023664268,3.6319838,0.21374352,-0.90205,-0.2745055,0.4113981,-1.9819055,4.9579735,0.133394,-1.895304,0.09051955,0.27104384,2.4868274,2.1710215,-0.0059714373,0.97973555,1.5986297,-2.072718,-4.6730485,-1.4270707,0.9497242,3.2747355,2.7784276,7.60354,-2.6431296,1.9051099,-3.282861,-0.49654204,2.2781951,0.5599836,-1.2630459,0.14376995,1.9508,-4.3742075,-3.1611438,-1.7251424,-0.8838684,-1.1170758,7.5651765,-0.95302945,-6.1322694
RPMI-8402,-2.8202672,-0.56365675,1.5499334,0.175128,-2.8957407,-7.106036,0.29978663,-0.076430365,-1.4730178,-6.40599,0.5863724,-2.4733286,5.4475865,-3.3705623,-4.050116,-3.5982075,-1.3824137,-0.6292987,-0.4727343,4.243251,-2.429202,-1.9764799,-2.3121543,0.5633906,-3.8609087,-0.4206711,0.08992171,0.27918756,2.5885303,-2.3120227,-4.109361,-3.340694,-2.6062899,-1.055167,-5.9305987,2.0320895,1.4952865,4.9049683,-1.197237,3.4459298,-3.3232653,3.6591332,5.980252,-2.8610065,0.77953136,-2.6793087,-0.19398439,-0.9484905,2.7669864,0.89903754,-2.572522,1.0911062,-2.8907943,-0.78871995,-0.50436074,-1.6168506,0.66842663,3.3884602,-2.400934,-2.4579496,-1.911469,0.3498245,0.5345911,5.109913,1.8143909,1.9593889,0.490605,1.1715682,-1.1624572,-0.67092806,2.0691228,3.8663127,2.115888,-2.0210073,2.654569,-0.7726895,-0.0946851,5.2441487,1.133306,0.43935832,-1.5516585,0.048546433,-2.395504,-0.12113494,2.5387657,-3.1993496,0.49532324,7.1817317,-2.618949,4.4457397,-3.3310668,-0.60306525,-1.6387898,-2.1304317,-2.9337242,3.8272817,3.2873223,1.8617885,-1.4225705,0.90485215,-1.666829,0.5337237,5.052938,2.055683,-0.2906534
SU-DHL-5,0.43631786,-2.804891,-0.23685096,-1.0857775,-1.0683717,-0.19741058,-1.4913741,-0.8076941,-4.7010326,-1.9410123,0.4224822,-0.55652434,-0.009465452,0.35488093,-2.0925255,1.3639278,-1.7832929,-0.76644796,0.65957105,-0.99092925,0.037209976,1.4738318,-0.10550226,1.7625729,1.7085185,2.729172,2.2703576,-0.9603615,-1.593088,2.0568182,2.2231154,0.15799846,-1.8163236,4.2812552,-0.6998162,-1.5651275,-0.8097405,-0.7934932,3.4003634,0.44172302,-5.083763,-1.3784478,0.784884,-0.61572194,-0.61775875,-3.523016,-0.4803695,0.8387523,0.47350428,-2.0291605,-1.000531,-3.5625484,2.292134,-2.5233948,0.39696535,-1.6249155,-0.70477945,2.4561791,0.59872043,0.43021068,1.2532818,0.60817486,-1.6848505,-1.0771017,1.6258448,-1.5599258,-0.11472471,0.10290895,-1.2567617,0.28578705,-2.6874874,-1.6623995,-1.0156745,-2.0788965,0.987501,1.0147038,0.58456504,3.22759,1.6443563,2.3086944,-1.1390778,-1.3062239,-0.84433085,0.5133953,0.087279454,-0.6166752,0.06496991,-0.77905035,-2.8603783,-1.3143071,-0.4705935,2.895039,-1.5293893,2.781332,-0.40409353,0.18286005,-1.8453469,3.0689447,1.3472855,2.5234184,-0.13846958,-0.9608032,1.0120125,3.3847,-2.987188
EPLC-272H,0.83898866,0.2642684,-0.66856855,0.6061676,0.8016757,3.7106435,1.1299237,-2.3884525,3.0310662,1.1455764,-1.9286991,1.1737194,-2.3846622,-0.7134821,4.383116,2.8100033,1.5398034,1.2178319,-0.5598578,-1.3676795,-1.6124164,0.31858483,0.8202351,-1.3214786,1.2821532,-1.3692799,-0.4032685,0.4698726,1.0636725,2.6840312,1.5607221,-0.08206323,1.079912,0.82390815,3.8441932,0.37141916,-1.0797772,-1.4346328,-1.790346,1.5245507,0.50784034,-0.50000256,1.2694682,1.5215539,-1.3583659,-0.9396939,1.9081275,-1.5669327,-1.6828219,0.20640254,-0.3089057,0.7927025,1.6543719,-0.6722547,0.9569559,0.41813248,0.31342632,-2.7336116,-2.5316112,2.8281705,-0.81570834,-1.3828813,2.6515207,-0.6062151,0.22134143,0.8888198,0.9082697,-1.7295957,0.8765636,0.624851,-1.017196,-1.0260098,-2.5808296,-0.70307016,-0.0041105,0.575693,0.391551,-0.35412917,-1.5673058,1.0775082,-1.2848933,1.70338,-0.7581756,1.3623774,1.6698859,1.5003136,0.5620835,-3.0426278,0.35043684,-0.1780822,4.018235,1.1707462,-0.12081522,-0.78524154,1.04043,0.02600995,-1.1345019,-1.6059146,0.24404436,-3.773391,0.96175843,-2.9534168,-1.7130268,-0.76703185,2.052313
DMS 114,-0.6624963,-1.0925211,-0.07053606,-0.99477303,-1.0814826,-1.141683,-1.0968293,1.1569241,-2.761539,-1.4806559,1.6767687,-1.0051967,0.037846744,2.151731,1.2839935,2.4179754,-0.23222715,1.1759347,0.4851043,-0.5198799,0.79576707,0.9016727,-1.4751167,-1.168036,1.6772248,1.0414456,-1.1947209,-0.5463647,-0.24627855,-2.1345563,-0.57651526,-1.7377441,-0.23504394,1.4428598,0.35457385,-1.3113787,4.5949287,-0.7562438,2.0159783,-0.22158194,-2.030008,-0.8372342,-1.4475797,-0.56660545,0.2948256,-0.87976193,-0.56162566,2.348725,3.6908958,1.8815511,-0.53879595,-0.91932946,1.6004685,-1.6197678,1.593571,2.1588767,1.5310488,3.034801,0.6429101,-3.1052773,-1.4187535,-0.5383844,-1.8494583,-1.4173365,0.5422971,-1.2078433,0.4606904,-1.6273727,-1.8551687,-1.3352748,-2.987001,1.3855526,-2.837079,0.16326308,-1.2125969,0.37494805,-1.997635,-0.5945601,1.1998242,1.0642601,0.31452176,-1.8928857,2.4205496,2.0866082,3.3796954,1.8240031,-1.7592703,-0.5710471,-2.1640728,0.7400137,-1.2543314,3.1709707,-0.81980526,1.5918155,1.3573718,-1.2484095,0.24037859,2.671841,-0.9967065,1.4856471,3.6365173,-0.43781698,0.356498,4.305979,-0.067477256
OPM-2,2.4413571,-0.10674064,-1.5540441,-0.68053925,-1.9449589,-3.8298995,-0.94046164,-2.1831303,-3.0961182,0.33190334,0.063028395,-1.7969579,0.89138156,-0.9302036,-2.0811782,-0.104715206,-1.407285,1.0309982,0.06851698,0.30540812,-3.3208442,0.43246567,-3.3543987,0.59973824,-0.7352799,0.15158752,-1.3650719,2.5714898,2.614199,-3.5780709,-0.96399623,-2.8909945,-1.109251,-0.8153925,-6.2783566,1.8438727,1.5136342,5.2418237,-0.39613444,2.7093775,-0.28244787,3.0117369,2.356659,4.204509,-0.17013244,-2.0309439,1.9598318,4.2875657,-1.8574113,3.523215,-1.168616,1.1385922,0.39604834,-0.8695959,1.6033659,-2.188912,-2.0209832,4.4416313,0.14582913,-0.10402733,-0.25938007,0.31030732,3.342959,6.2800827,-1.5986277,0.22216535,1.5298011,1.21087,0.63110363,3.284019,2.9937267,4.217265,2.0527122,3.41774,4.1797976,-2.6958594,4.610441,4.449994,1.9806865,1.6495411,3.5472388,-1.8382835,-0.90614825,-2.307479,1.8033706,-3.1533384,0.3802295,10.0095005,-0.93583226,0.7956641,-2.3098695,-1.5733498,-2.8321335,2.1180422,-1.6193643,-1.4332968,1.5533447,-0.17086418,0.1772079,8.567049,-4.334335,-0.38488337,6.8523874,1.9879252,0.19340147
KHM-1B,-0.16724956,-3.336131,-0.26723453,3.0716684,-2.55175,-0.21800728,-2.1680002,-1.7070668,-2.5131395,3.0323648,-0.48459172,-3.5674767,0.9969963,0.8938404,-0.6684661,-1.4206954,2.620261,-0.6151709,-2.9964786,-0.41813126,-1.1040711,-0.91293544,-1.5039282,-1.4749707,-0.26214695,0.05665359,0.54484063,-1.0508997,-2.6892753,-0.95697916,0.43234324,0.9351593,-1.049434,1.9979932,-1.297028,-0.40026373,-1.2566657,2.0474885,-1.2487962,0.68294597,-5.6374426,-2.543537,1.0936902,0.8775179,-0.6275584,-2.5063064,-1.1124783,2.8839695,-0.6717699,0.13404411,1.5564466,-1.2430553,-1.7695644,-0.7410309,3.2348826,1.7960473,0.96227443,1.601939,2.7946515,0.8128199,0.028973937,-0.49104652,-1.942927,-0.76431346,0.5471622,-1.280829,0.5723304,4.85812,-0.06793511,2.4222534,3.1596017,1.9042889,1.8211983,-0.17666662,0.010727316,0.40967396,2.3139017,1.0736649,-0.14143917,3.7272344,-1.144851,0.52938807,2.672543,-1.4115125,1.730727,-2.0343964,-2.3993864,4.4699926,0.7577643,0.8034167,-1.9218364,-1.4949294,-1.2043605,3.2130244,-0.2178089,0.7610436,2.7509453,5.203682,0.8885884,5.1010623,-0.260669,-0.28409508,1.9170371,4.993676,1.9822769
NCI-H1734,4.1619525,-2.24555,2.1057138,3.2120316,-0.5256689,-0.7347621,3.2758505,-0.4977192,4.849169,0.53112453,-0.3691134,1.7473103,-0.5391398,-1.6466786,1.884191,-0.38468558,0.6860856,-0.68482053,1.3836185,0.52739555,1.1040232,1.3587904,-2.6117153,0.5320619,-0.057895318,1.6955999,0.5745785,-1.2289361,-0.79976994,0.86359835,-1.5928534,0.32358265,2.9536607,-0.9880861,0.114070415,-0.9529141,-0.21511665,-2.0193756,-1.9756432,-4.04594,2.364118,-1.4201106,-1.0849869,-3.1948915,1.2219037,-0.6079435,-1.7228433,0.1790659,1.2310332,-2.1824276,1.9148676,-1.3435911,0.0091834245,2.4056842,-0.61170703,1.4481883,2.0664427,-1.8854194,0.49909616,-1.0756128,0.61249954,0.96696997,0.5470132,-1.7602859,-0.089787826,0.34612787,0.69172573,-1.6936158,0.58674073,2.1888056,2.8874152,-0.9862384,4.33151,-1.1891179,-2.615601,-0.2707756,0.9794157,-2.3529375,-1.6053267,-0.50836277,1.495032,0.46642864,0.32204112,-0.51788974,-0.8703929,-0.60652494,1.7419057,-2.2182841,1.045357,-2.2271338,-1.6853582,-1.0367923,1.8923869,0.7578582,1.0938238,-0.741474,0.32540706,-0.42506737,1.6508907,-1.0322926,-1.0591944,3.2112818,-1.5745531,-3.84723,0.2549578
COLO 320,-0.6383343,-2.794882,2.1685376,-2.6220875,-0.2636701,0.18224633,0.7472653,2.981595,0.6395302,-2.586358,-0.8786497,-1.0980952,2.343505,1.1792232,-2.4581256,-0.5878074,-2.7262495,-0.390215,-0.64418876,0.53834313,-0.24375644,-0.71422255,0.6107375,0.97028464,-0.4151651,0.7101148,1.6119035,1.1565418,0.7017959,-0.37812918,-0.992578,-1.9542441,-1.2294159,-1.6014178,-0.2706098,-1.1287167,-0.3492502,-0.5094365,2.0167131,0.59974384,1.7850834,-0.9207198,-0.60345423,1.8662453,2.6670961,-2.6735423,-0.03392005,3.226447,1.4241371,-0.78089094,-1.6744475,2.2931328,1.3995537,3.6111608,-1.8819172,1.7353195,-4.5186234,1.469299,3.0952837,-3.8938093,0.9427634,1.8474414,-3.372476,-0.2246376,0.7630883,-2.8427284,-0.055000108,1.3088754,-0.3129201,-0.043934286,0.07035856,-0.3499948,0.30450514,0.82372,0.72708374,0.4245255,2.285524,2.156747,1.462256,2.8558383,-0.04197812,-1.143361,0.051700227,-1.1679587,-2.085088,-0.34288645,0.7508137,-1.0349507,0.86320466,0.09287437,0.94977623,-0.52070457,-4.9335675,1.4233538,-3.2737517,-1.8497264,2.0331368,2.790401,1.9803053,4.740153,0.62163186,0.9593395,-1.6636293,0.8959253,0.14716455
Hs 840.T,0.26587456,-0.7141665,0.70403135,2.501564,-0.386353,-2.2023172,-0.9150722,0.8730831,2.3683238,4.1669984,0.17656353,-0.33293667,1.2048322,1.8262019,2.2209177,1.7099961,0.9880205,2.4599075,1.2887199,-0.7486059,0.10828802,-1.4172138,1.7136866,0.14139175,0.3560414,-0.8140859,-1.183733,0.7742106,-1.2421768,-1.9512128,-0.22455956,1.0463163,0.8675755,-1.3146658,3.091912,0.21857557,2.3578942,-0.49407998,1.2805442,-2.8426232,0.17420405,0.76209754,0.2839528,-0.950817,1.1666135,0.9551054,-1.4202985,-1.1411927,-1.0578504,-1.5904851,1.0475215,0.5326583,-0.08522176,-0.92477083,-0.96097326,-0.86901134,-1.0542508,2.2271016,1.2600486,-0.3704514,-0.2232006,-0.58787733,1.1929574,0.42081606,-1.0073696,1.8177587,-2.2802074,-2.321378,-2.2058651,-1.7539494,-1.0841968,-1.7225745,0.72367346,1.4604301,0.81772685,-2.2158606,-2.5701315,-2.007104,-1.2539532,-1.2156296,0.73069566,0.7989167,-0.6853,1.6555878,0.7604174,-1.0001408,-0.63009155,-2.3632472,3.7488894,-0.6821458,2.3538842,2.7030342,-0.24471217,1.7662388,1.2705432,-2.2216854,0.28646457,-1.6478976,0.273153,1.8467507,0.9687517,0.41141185,0.9063889,2.5869918,1.2242881
