,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104
59M,-2.7703643,-3.9865544,0.5193609,-4.7017417,2.5627604,8.114354,7.4879756,2.1113431,5.388416,3.3709474,2.5776758,3.986689,-3.3009472,5.7360907,-1.4685705,-3.0676947,1.800909,6.4909983,-5.085057,2.554997,-1.1299915,7.2468767,-1.3314074,4.1261477,1.409883,0.5874541,4.8003664,4.442648,0.28440806,1.6596025,3.3192308,-5.2356434,-1.5562153,2.9060543,-3.4531286,-2.7096095,-0.5657153,-3.1825526,4.1443386,-2.0000563,1.7486162,-7.194381,-2.7899616,2.5206466,-4.2838974,-5.4279804,1.8917835,1.0737275,2.0648987,5.638114,-0.33018422,-4.616264,1.6992562,0.0011657309,-10.794586,2.8442507,4.1543555,0.18425661,8.067443,-8.687488,-4.5876727,3.033117,0.05042079,1.1486621,6.1266084,-5.50235,4.9826074,-3.1755788,4.502487,0.33538792,-1.0205183,-8.129837,-2.8233552,-2.4733663,4.7587223,-1.987593,5.7296,8.926515,7.324139,10.186806,-1.6283786,8.965045,0.21062535,1.3594997,3.2496731,3.4494393,-6.860564,-5.1833277,3.089641,7.8357005,-2.4796505,7.2266903,-6.155142,-3.14109,-0.12609108,-0.941732,2.9079657,-6.526179,0.6321444,4.5118356,2.8753278,0.32237652,-1.2724466,4.0411086,1.5072435
KM12,-3.7579114,-3.6842628,2.2482662,-2.4115539,3.0718374,4.530207,5.123477,3.0457711,3.8017013,4.534093,2.3658984,2.0125978,-1.8824439,5.256475,-1.1868539,-2.212226,1.9420981,3.3085108,-2.3968472,-0.3832162,1.4953102,5.465551,-0.9226359,3.9430807,0.2512959,-1.1777943,2.724325,1.9400314,0.55210143,2.3929772,0.5915415,-4.7283506,-1.1362202,2.37008,-2.645494,-5.185393,0.14264148,-2.627853,4.000129,-2.7483416,1.6028656,-3.3309636,-1.0044535,2.596193,-3.1279447,-5.2728844,0.9760457,1.5286878,0.069342375,2.7798,-0.07098761,-4.826161,1.0688703,1.5211097,-9.416102,4.0095153,4.56739,0.7604238,6.5379324,-7.9644666,-2.4976,0.44021142,0.7641199,0.20056306,4.884718,-5.2160215,4.1293387,-1.9800502,4.363108,2.0178165,-0.95522195,-5.593501,-3.8178377,-2.9967859,5.2058654,-1.1479939,2.8890877,6.5291386,5.255379,7.6151576,-1.1392148,6.420204,2.1756506,3.4295492,3.160061,4.499643,-4.274605,-3.5576098,2.6207983,6.2326446,-1.0082296,6.1212897,-4.4651933,-3.9918835,-0.45945913,0.06879662,3.5787437,-5.52541,-1.2286437,2.2944188,1.892239,1.7206104,-0.04573696,2.0252519,0.44320408
NCI-H1793,-0.10513475,0.5754932,3.8515463,-4.463338,6.1218767,-0.927915,-8.721664,11.352195,-3.2284384,3.992591,-6.333114,-6.447204,-1.7035692,-2.598556,-0.6799794,3.1917946,1.265617,0.39518997,7.5106964,-7.4101896,9.702841,-8.275562,6.5650916,-2.7087495,-2.9059403,-1.5236987,-2.22956,0.06003745,7.090357,-5.068563,-0.5090534,3.223274,3.768456,-0.7909022,1.5759836,-1.4446967,0.20554385,5.5564694,-4.853357,-1.4180766,5.2642374,2.5848386,6.6769805,3.1988168,0.27342504,6.4298162,4.5478954,-7.050072,3.2375233,-7.773,-4.142967,-4.4155207,-7.772773,0.1825086,7.315693,3.267521,0.33002502,0.36614987,-4.559158,1.9964418,5.855724,-2.3138049,-0.15641493,-0.92262733,-1.4245762,3.5535061,-8.688096,2.0781155,-6.7970324,-5.4933114,-0.052484322,5.0646696,6.5113926,1.2149949,-0.2483166,-9.094513,0.21648116,-7.249714,-11.425308,-9.716645,-0.12682545,-7.6013126,8.807739,-3.0248532,-3.8057194,-0.44339696,-0.7016475,1.3311859,3.3455863,-11.362805,3.1895037,-10.814659,5.173313,11.008292,7.5981145,-2.9991722,2.7207384,5.303652,-0.26918635,-2.1185467,-3.6488292,0.50463307,0.1224774,-7.221725,-1.0967237
SiMa,-7.0256143,-7.657876,3.5510316,-4.0731425,4.926038,7.6901836,12.338111,5.661357,8.793851,7.391026,3.9094875,4.475603,-3.6646953,10.14158,-4.2675333,-4.961547,4.2909646,7.50251,-3.415927,-0.08218475,2.6319292,12.554316,-3.440942,8.244147,-0.37304923,-2.496753,4.512129,4.3755217,-1.4653664,4.492223,0.51522213,-10.174689,-4.1967483,2.9813933,-3.932508,-11.18482,0.41699782,-3.571712,9.492549,-5.0732713,3.962187,-7.646459,-2.4617367,5.2684975,-6.4937863,-12.468126,1.7129583,4.507686,-0.70927644,8.695082,2.0989108,-9.174928,2.211255,2.103334,-20.770214,5.4167023,9.009819,2.1374574,15.474988,-17.185337,-7.7299504,1.456177,-0.26579845,-0.04398985,13.185008,-10.8791485,9.127707,-4.1901116,7.1633573,4.1331553,-2.7780235,-11.952166,-7.6318064,-5.8029947,11.197682,-1.8153033,5.694307,15.79184,11.825811,16.769764,-2.3949046,15.387592,3.5474625,5.5594835,5.908444,9.143339,-7.029401,-6.9552236,8.2385645,11.622171,-3.0578523,12.1987915,-12.471405,-8.66797,0.46347407,-0.4158322,9.194712,-11.990992,-2.1266227,5.335097,2.3537955,3.9280326,1.9861788,6.25748,1.0184834
BC-3C,-3.02947,-4.2215686,0.51660013,-4.939301,2.2800374,8.341481,6.7301145,2.4233007,6.4690466,5.2058487,3.3326647,3.3917055,-1.5337675,6.4204545,-1.0139917,-2.4903283,0.9961826,5.241278,-5.168987,2.7754614,-0.9236913,7.4249215,-1.1010287,4.576904,0.5437539,1.3566048,6.026995,5.2954555,1.2525266,2.6876965,3.0585334,-4.9779005,-1.5426104,4.712081,-3.4621754,-3.4799907,0.03314874,-4.6486335,4.675041,-1.507571,0.9689389,-6.2526817,-2.5728843,1.5253751,-3.2215338,-5.9862366,1.1730169,1.8220612,2.1256158,4.7342,-1.4041866,-4.6425304,2.0149195,1.6902739,-10.412928,4.992573,4.4067845,1.1368722,7.524215,-8.882328,-4.0100656,2.376052,1.4978138,1.6443813,5.731583,-5.7436175,4.997762,-3.840565,6.4391804,1.1816179,-1.0299973,-8.29332,-3.7887628,-3.8009584,5.776297,-1.6644001,4.767981,8.820322,7.116469,9.589603,-2.4555416,7.6818056,0.9091332,2.891947,3.6682703,4.524227,-7.777871,-4.6225185,2.4705918,8.715812,-2.237904,7.1541405,-4.683492,-2.8678114,-1.2188061,0.14821222,2.3314192,-7.5208,-0.08643342,3.1396148,4.840021,1.5823525,-1.1938378,2.162077,0.8182572
Panc 08.13,0.322713,0.57013965,-0.2878849,-0.8683327,0.14958704,0.51053226,-1.8304894,1.768971,1.2592187,2.6025553,-0.48566437,-1.9083644,1.6270661,-0.4841516,-0.0652031,1.6268193,-1.103351,-0.25767088,0.6377886,-0.55584186,0.98468554,-0.98914087,0.23014785,0.5176729,-1.5837826,0.85301507,1.0096633,1.4436556,2.143706,0.34928632,-0.047672205,1.2825297,1.0763592,1.6339648,0.7743528,-0.5524692,0.79641896,0.04219792,-0.3343901,0.53668416,0.023139752,0.50950134,0.7091567,-0.91314757,1.798121,0.5060461,-0.2686538,0.23678643,0.998273,-1.2496681,-2.3052638,0.08410475,-0.863881,2.2174041,1.5504246,2.355884,-0.5376773,1.501178,-1.744758,0.026548054,1.2213144,-0.6930764,1.8540602,0.52054745,0.033402164,0.74148375,-1.2495986,-0.9567324,0.5302968,-0.7389802,-0.13370962,-0.36264822,0.5936016,-1.3160676,0.9067319,-0.9339208,-1.099568,-1.2183645,-1.7570391,-2.0761518,-0.86283493,-2.3891742,1.4776185,0.800369,-0.33860323,1.106235,-0.6816498,0.4920484,-0.19333959,-1.0414402,-0.031405546,-1.8852798,2.114333,2.5375278,0.3456242,-0.17071249,0.2858281,-0.3538694,-0.64452934,-1.568421,1.4677688,1.5133582,-0.028233021,-2.7163074,-0.78404355
Daoy,-2.0998971,2.2416558,5.918657,-3.1243784,9.541725,-4.0156465,-11.259311,16.73252,-5.402241,4.7297974,-10.245916,-8.7045765,-2.7569542,-3.7579064,-0.16711152,2.5787666,2.6527057,0.6906029,11.561521,-11.645334,14.163045,-12.401807,9.63548,-4.252199,-3.9883742,-3.0260797,-5.300486,-1.1941711,10.296216,-6.9170074,-1.9572614,3.9477425,5.277224,-3.3489666,3.4686658,-2.8259182,0.9244586,8.395159,-6.3866673,-2.4741864,8.667848,3.5114415,9.995553,5.1893535,-0.9457131,9.09592,7.158682,-9.333673,4.523405,-11.759196,-4.245485,-6.52123,-10.051413,-0.5805831,9.107982,3.3497338,-0.1715804,-0.997747,-6.7831945,3.0461876,8.885401,-4.1850667,-1.1027509,-2.1930175,-1.7379676,4.077959,-12.0020895,4.7083716,-10.1778965,-8.050053,0.22709058,7.655781,8.775631,3.3870924,-1.7023889,-13.003683,0.46484438,-10.652733,-16.386429,-13.52125,1.1779512,-9.429569,13.385387,-5.2876954,-5.144586,-0.942567,1.2843693,2.351951,4.298936,-16.90265,4.7391157,-14.260483,5.7211666,13.314441,10.47029,-5.1545086,4.364946,7.968565,-0.47086364,-3.778046,-6.382048,0.50088006,0.13101943,-9.488838,-1.5356865
SK-MEL-28,-0.18529227,0.0392524,2.8539717,-3.3211522,4.5310054,-0.18374099,-5.62186,7.9228354,-2.7262049,2.2756758,-4.1895914,-3.8969288,-1.8577106,-1.6520962,-0.9444486,1.9591138,1.2666839,0.5647263,4.7873735,-5.381645,6.565026,-5.4985385,4.153005,-2.0089715,-1.3314672,-1.4968385,-1.735706,-0.12913194,4.7006674,-3.7230582,-0.07282838,1.7981769,2.6870756,-0.693454,0.5236278,-0.67177635,-0.3825324,3.9876013,-3.4490883,-1.4238738,4.016924,1.3611758,4.4616966,2.7851663,-0.364255,4.2857623,3.2918532,-5.1555376,2.050438,-4.7393317,-2.9152153,-3.514215,-5.674234,-0.1293099,4.6256733,2.0045931,0.7794586,0.10351591,-2.78183,0.9171946,3.7880547,-1.2437333,-0.56618345,-0.9106845,-0.7008102,2.345706,-5.708201,1.3371309,-5.2573714,-4.020696,-0.189564,3.4337568,4.673169,0.6932757,-0.3167985,-6.4469767,0.69818866,-4.460424,-7.481445,-6.210691,0.19063625,-4.511218,5.948757,-2.3377097,-2.6380644,-0.38134006,-0.4348293,0.21861574,2.7892578,-7.490337,2.153659,-7.091573,3.0957308,7.6628413,5.6921163,-2.015458,2.3608954,4.0619397,-0.018233012,-0.8232714,-2.7498229,0.22183336,0.24464977,-4.343935,-0.2739002
Hs 852.T,-2.5592709,-2.8019075,0.29352513,-2.5957084,1.912694,4.5157504,6.484236,2.4440746,4.983984,3.1179938,1.2510359,1.954368,-2.0480797,4.1206846,-2.4523473,-2.326354,1.5307634,5.481568,-2.3865366,1.0587827,0.62583995,5.477061,-1.8579873,3.7472785,-0.28584003,-0.5904412,2.706777,3.4972715,-0.33241248,1.7424121,1.4538519,-4.330669,-1.7159563,1.3782457,-1.808232,-3.9485123,0.5877099,-0.9849255,4.305285,-1.5973041,2.2967913,-5.604415,-1.5556257,1.590403,-3.0232594,-5.5172615,1.1478289,2.0443792,0.6915337,4.933736,0.4154384,-3.7613463,1.3623683,0.6719203,-9.539347,1.939091,3.2910018,0.88617146,7.0630126,-7.7861586,-4.2385993,1.8395729,-0.25792432,0.51101965,6.8538384,-4.464951,4.276788,-2.211042,2.819519,0.0811857,-1.4749647,-7.1165295,-2.5596054,-2.575019,4.513474,-1.3677849,3.2778153,8.001061,5.572155,8.014971,-1.7713019,7.91032,1.2426324,1.336285,2.133202,3.8339055,-3.7158804,-3.2780335,3.9032495,5.0363545,-2.4838858,5.6052585,-6.029803,-2.711311,0.25392717,-1.256955,4.5032005,-5.620701,-0.41444004,2.9440386,1.8459985,1.5131478,0.3174314,3.231068,0.87087095
MPP 89,0.046845533,0.52481693,1.3914356,-1.5869607,2.4038365,-0.46997887,-2.196454,4.2773476,-2.0089955,-0.14418605,-3.4526553,-2.0719302,-1.6955024,-1.8980796,-0.6695194,0.3640315,0.57835585,1.3799838,3.1255827,-2.9718926,4.2330704,-3.5798047,2.620436,-1.6736674,-0.14404151,-1.0654975,-1.6279997,-0.5263619,2.2295823,-2.9907858,0.9406658,1.1205205,1.0630286,-1.4570312,0.906355,0.3490841,-0.2571498,2.9591014,-2.1989896,-0.52617484,2.643555,-0.022264704,2.7959301,1.9870503,-0.7287101,3.0196354,2.5733669,-3.9132528,1.615745,-2.6471336,-0.8136843,-2.36715,-3.0594704,-1.2637799,2.4807427,-0.34824297,-0.38367444,-0.47355685,-1.5107069,1.6973102,1.6264827,-0.25027293,-1.4776816,-0.37028727,-0.64007807,1.1914902,-3.9562566,1.5609915,-3.9297824,-3.1129603,0.37615925,1.7470651,3.577188,1.929963,-1.2689381,-4.258037,1.207305,-2.5398145,-4.5489044,-3.512454,0.26458746,-1.8632492,3.875658,-2.9631968,-2.3353446,-1.2705473,0.32732698,0.00404271,2.3258781,-4.958849,0.41469225,-4.0270276,0.3547518,4.180104,2.7373407,-2.5671954,1.151452,2.8802867,0.7414797,-0.31157255,-2.5344296,-0.5865574,0.22178681,-2.0363305,0.06424419
LCLC-103H,-0.49574077,0.047198027,5.590585,-5.9203606,8.95107,-0.51697344,-9.567948,14.387475,-5.5928774,3.6788933,-8.488788,-7.562301,-4.094186,-3.8996944,-2.233234,3.4645295,2.5930886,1.9321917,9.862148,-10.735552,13.344059,-10.409086,8.11906,-3.719913,-2.631091,-3.4927797,-3.671207,-1.0320773,7.8799005,-7.3057375,0.15858833,3.372393,4.7692432,-3.0061512,1.340195,-1.6302055,-0.475888,8.34164,-6.3474226,-2.9097736,7.976246,2.2553277,8.788095,5.8512,-0.9368132,8.099127,6.9179335,-10.390048,3.8008673,-9.174001,-4.1290355,-6.2099843,-10.636393,-0.86155605,8.353755,2.002094,1.3140581,-0.108598046,-4.5992427,2.044329,6.4747076,-2.0852501,-2.3519113,-1.670507,-1.1240047,4.3466716,-10.544299,3.7656994,-10.952614,-7.5574055,-0.14530748,6.2586603,8.771505,2.6523287,-1.4942837,-12.461611,1.587827,-8.386616,-14.18178,-11.49531,0.36258036,-7.69716,11.764978,-4.989793,-5.661036,-1.1372848,-0.12593149,0.37855247,6.199633,-14.67797,3.3145905,-12.980977,4.4948125,14.199895,11.01168,-4.9448943,5.18891,7.4880376,0.29343444,-1.1730305,-6.932722,-0.18100722,0.35724333,-7.6464105,-0.65883875
EM-2,-0.3334847,1.2054423,3.5840771,-4.2537045,6.573724,-1.567834,-10.704669,13.796787,-3.7509277,5.141485,-7.2595625,-8.15834,-1.457757,-3.4494305,-0.20619023,4.4590254,1.2922142,0.31202665,8.805255,-9.234965,11.397244,-10.120199,6.6694813,-3.0642703,-4.5482516,-1.8244524,-3.2120013,0.329608,9.220493,-5.0366845,-0.97774017,4.339233,4.992927,-0.44705826,2.1026812,-1.3022411,0.50091314,6.376942,-5.8932595,-1.0453413,6.6246743,3.1684403,7.7698174,3.2061355,1.6046762,7.817029,4.79997,-7.6558905,3.5202482,-9.602352,-5.995175,-4.8686132,-8.927722,1.1678499,9.114065,4.010951,-0.6107033,1.1350176,-7.042828,2.3940952,6.8995667,-3.6292803,0.9672963,-1.4246161,-1.7067481,4.4253707,-10.271405,2.8755307,-7.902527,-6.639464,-0.3458807,5.898733,7.5499387,1.0714577,0.22486483,-10.595712,-0.7988148,-9.065936,-13.642925,-12.184397,-0.03650188,-10.175097,10.739605,-2.7273264,-4.4788637,0.23910484,-0.646825,1.855495,3.5498571,-13.379268,3.3427384,-13.812769,6.5720677,13.573582,8.505051,-3.5683112,3.5781343,6.6777387,-0.61240214,-3.2476301,-3.1693554,1.5801996,0.3896135,-9.811852,-1.5148388
NUGC-3,0.41771924,-0.39846665,-0.4185185,-1.5485475,-0.6456635,2.2768028,-0.2530315,0.073968664,1.832757,2.2102442,1.0893413,-0.6819659,1.802734,0.6564817,0.36524573,1.1760209,-1.5317104,-0.6171026,-0.83729154,1.0460786,-0.4452221,0.5957144,-0.25831366,0.8480266,-0.60485816,1.7161973,2.2289162,2.0502708,1.3718113,0.9489652,1.0474434,0.80596364,0.20090306,2.5879054,-0.33129823,0.2504251,0.13658786,-2.0802093,0.21684973,0.99360806,-0.87430763,0.1718632,-0.41540822,-1.3599687,1.8448188,-0.477936,-0.72321975,0.17587905,0.7587908,-0.28105286,-2.0252683,0.30428442,-0.014572963,2.116899,0.2911934,2.4844737,0.073379636,1.455832,-0.8099333,-0.2207316,0.351584,0.10918969,1.8789682,1.187743,-0.3246856,-0.19990398,-0.13645257,-1.2305968,2.2162826,0.24114731,0.0583164,-0.8539149,-0.48866135,-1.7486926,1.0508775,0.1736112,-0.33794555,0.27502823,0.3424441,-0.57181394,-1.337137,-1.4280503,0.5084315,1.0709627,0.26254514,0.9152637,-2.0246568,-0.19853728,-0.4915118,1.4927849,-0.7141479,0.05335069,1.6962519,1.7776299,-1.006793,0.90319365,-1.0535127,-1.5341699,-0.2454741,-1.1688548,3.0121386,1.3425943,-0.34379765,-2.2862456,-0.62972033
RKN,-1.4218013,0.22453299,8.291423,-9.6933975,13.611617,-0.9715963,-15.206092,23.261023,-8.949046,5.3503933,-13.674956,-11.665363,-6.476755,-5.3862543,-3.0067015,5.194056,4.1987643,3.827174,14.856826,-16.951174,20.843788,-16.709166,13.722163,-5.7746134,-4.0631285,-5.309802,-6.2142572,-1.4918661,13.271833,-11.813889,1.2151197,5.0563173,8.063094,-3.815129,1.7814006,-2.36241,-0.88013315,12.680448,-10.10232,-4.8985457,13.00111,3.3211246,13.351956,9.099353,-1.7995585,13.360288,11.351579,-16.88689,6.56233,-14.873434,-7.303794,-10.861379,-16.77887,-2.0389287,12.842791,4.249685,1.6888438,-0.45270923,-7.952149,3.7273679,10.064659,-3.6923401,-3.2441602,-2.7244601,-2.5496454,6.176706,-17.804642,6.1146584,-16.833788,-12.506949,0.16733396,9.363,14.332548,4.5575953,-2.5602834,-20.578104,3.1026003,-14.32096,-22.903313,-18.191624,0.68116665,-12.427771,19.001926,-8.398486,-8.70604,-2.041962,-0.4597902,0.17771463,9.57202,-23.106815,5.4540033,-20.517769,7.3345613,22.287874,15.97696,-8.48256,7.2035537,11.910482,0.4195419,-2.186765,-10.619135,-0.7743915,-0.14342713,-12.574831,-1.2472881
AGS,-4.032893,-4.811531,2.0658038,-3.939077,3.241406,7.2481856,6.6688585,3.1676621,5.874513,5.856481,3.4720879,2.888151,-1.8000008,6.829981,-1.2580141,-2.7019577,1.6947359,4.3683014,-4.0765133,1.1024362,0.76900834,7.476764,-1.0073823,4.8652525,0.5137229,0.099692464,5.041368,3.866859,0.87957543,3.1156611,1.7664044,-5.635518,-1.6755236,4.068764,-3.7324293,-5.3309016,0.17256254,-4.4976573,4.9359474,-2.6463575,1.4282132,-5.1134467,-2.0760386,2.4389644,-3.5375283,-6.5705338,0.88295454,1.870663,0.92775756,3.9167473,-0.74423736,-5.5081544,1.6239047,2.151561,-11.450321,5.551619,5.593276,1.2341176,8.207192,-9.859629,-3.3923492,1.5339328,1.2569617,1.0880122,5.859214,-6.4409976,5.4357247,-3.218557,6.4963417,2.0995872,-1.0522848,-7.4636436,-4.585057,-4.159236,6.5146494,-1.4689965,4.1352267,8.779257,7.1166315,9.874725,-2.1495085,8.03586,2.024779,4.1081257,4.12803,5.5607796,-6.841437,-4.520936,2.9924545,8.752801,-1.4863248,7.796377,-5.034457,-4.122871,-0.9548202,0.4624113,3.4358904,-7.524807,-1.0384026,2.7645266,4.027015,2.122456,-0.48080257,2.2180727,0.5701373
U2OS,-3.4689093,-4.5349064,1.0232017,-4.576421,2.8416226,8.011805,7.9372244,2.642746,5.9771967,4.2206097,2.9887576,3.9295595,-2.9687662,6.5201283,-1.7260013,-3.2188609,2.0398962,6.3152375,-4.861733,2.1907294,-0.47449064,7.8504624,-1.6458992,4.745124,1.0325243,0.23959488,4.8927484,4.4905453,0.32165396,2.34072,2.8314772,-5.961642,-1.9381773,3.3178673,-3.5638115,-3.9640305,-0.25201818,-3.5668566,4.938548,-2.373573,1.8731468,-6.9846745,-2.6140656,2.6890795,-4.3345337,-6.407715,1.6643513,1.6723019,1.5723337,5.7736907,-0.17808554,-5.25916,1.8860306,0.5888168,-11.914609,3.704904,4.9105935,0.65840244,8.891316,-9.801305,-4.779157,2.648512,0.27761665,1.0784413,6.8244896,-6.268655,5.641201,-3.4034393,5.290024,0.97787195,-1.2764188,-8.534989,-3.6632004,-3.3144362,5.7874527,-1.9154503,5.5366373,9.785506,7.7979503,10.91808,-1.8897475,9.4898205,0.8220831,2.391517,3.6781564,4.4725122,-7.045878,-5.2471743,3.508106,8.48856,-2.463484,7.8870177,-6.567443,-3.7692919,-0.38407314,-0.59283316,3.5889053,-7.402301,0.05668925,4.370532,3.3322723,1.1027224,-0.9040467,3.925915,1.3091719
IPC-298,-0.40524733,0.24993081,3.3075113,-2.9050722,5.0433216,-0.5010619,-6.0002947,8.6039715,-3.0411208,2.410899,-4.8554115,-4.5373516,-2.1823514,-1.960887,-0.97992,2.016343,1.4475213,0.57153136,5.7608886,-6.1461616,7.2784815,-6.122667,4.395115,-2.141774,-1.6839349,-1.8348254,-2.2747126,-0.6023717,5.029202,-3.907474,-0.60896325,2.041392,2.9391177,-1.3682308,0.8501011,-1.2941275,-0.26249543,4.6700783,-3.6494997,-1.6917188,4.391443,1.479563,4.9754267,3.0285902,-0.49148718,4.4769616,3.5821905,-5.471156,1.9667265,-5.2853484,-2.764325,-3.535333,-6.009649,-0.20832022,4.762099,1.9092778,0.996617,0.04077603,-2.7496653,0.7326669,4.3028374,-1.6278913,-0.69316536,-1.1611592,-0.60306746,2.435577,-6.0291276,1.7184813,-5.8739953,-4.3043466,-0.045483362,3.932885,4.9069223,0.8964423,-0.32331568,-6.8950806,0.52117646,-5.1053066,-8.141579,-6.731238,0.37959188,-4.7354326,6.488011,-2.3814886,-2.6979957,-0.46124688,0.2882388,0.42319176,2.9803529,-8.384297,2.3759925,-7.4674115,3.2125733,7.953627,6.182021,-2.461927,2.7176692,4.186141,-0.24867743,-1.127911,-3.517822,0.29321328,0.21611403,-4.506903,-0.4456278
SNU-398,-0.39303944,-0.9656186,1.2316124,-0.59931463,1.1508292,0.9475207,0.64639944,0.70488137,-0.10984529,0.14036506,0.24698275,-0.1715303,-1.1941462,0.15277673,-0.6674195,-0.3029164,0.71491617,-0.07189657,0.6267595,-0.67350245,1.0414964,0.5901983,-0.305496,0.1546508,0.45051825,-0.8251724,-0.17107046,-0.51566476,-0.16171198,-0.41417018,-0.40222287,-0.6918547,-0.24572182,-0.68309975,-0.109629184,-0.81718284,-0.47477603,0.20315742,-0.120810166,-0.8155132,0.70741934,-0.07944305,0.55772567,1.2415636,-0.547561,-0.97686344,0.5399569,-0.26136512,-0.25189394,0.5101159,0.38605294,-0.97967917,-0.6565921,0.3016308,-1.1426744,-0.19560122,1.2580043,0.18820146,1.6163958,-1.6251558,-0.24637645,0.43035296,-0.5185536,-0.2791111,1.1671478,-0.5526228,0.65265703,-0.1543845,-0.5209586,0.23264939,-0.3209346,0.13141073,0.038340412,-0.28472847,0.82205087,-0.2871481,0.59682757,1.1995584,0.8498715,0.68749434,0.17842199,0.8827208,0.49484202,0.034464143,0.17923068,0.64616156,-0.01435772,-0.8431571,1.4228727,0.058207873,-0.34778887,0.25754654,-0.98058593,0.705199,1.7149773,-0.12712164,1.1940382,-0.12700717,-0.10901087,0.7135359,-0.68061674,0.22174376,0.628205,0.218541,0.34862018
A-704,-3.4524431,-5.149507,1.66393,-4.661221,3.1315763,8.218479,7.4686627,2.7359881,6.137456,5.1628437,3.4334831,3.5290804,-2.494656,6.840498,-1.4633139,-2.790429,1.6341821,5.18698,-4.5853906,2.1746056,-0.1967194,8.1175165,-1.4081142,4.852442,0.876901,0.55598027,5.404758,4.314561,0.5100658,2.664171,2.543174,-5.788516,-1.9262518,3.8654716,-3.9491982,-4.7593856,-0.20569119,-4.3484826,4.960513,-2.313857,1.4720808,-6.1034937,-2.7982998,2.5856202,-3.9502647,-6.6511536,1.1562147,1.6261489,1.1062628,5.108529,-0.29965487,-5.2607718,1.5558085,1.4242154,-12.001503,4.654756,5.562965,0.96167207,8.975136,-10.180236,-4.2257657,2.32398,0.9022857,1.1722637,6.401369,-6.362864,5.8100877,-3.5286653,6.2649226,1.7725835,-1.0401341,-8.054805,-4.254876,-3.8496885,6.345511,-1.70047,4.847161,9.492427,7.9911194,10.732832,-2.3350294,8.947535,1.1180875,3.3542922,4.037108,5.064318,-7.455562,-5.0538497,3.3437097,9.07247,-2.1159627,7.936656,-5.6056867,-3.805023,-0.61054534,0.2499733,3.382697,-7.725849,-0.4102644,3.8681726,3.9816096,1.5497425,-0.7516339,3.1151252,0.9735817
IGR-1,-3.8101115,-4.1987596,1.0862689,-3.7184496,3.1309435,6.49101,7.979166,3.318594,5.786907,4.196329,2.223458,3.447063,-3.3415391,6.1274037,-2.4081316,-3.3335516,2.464506,6.785653,-3.763258,1.1915454,0.43508807,7.4009748,-1.8751663,4.9329147,0.42780465,-0.9890764,3.6168683,3.8075573,-0.07135609,2.347076,1.8779944,-6.016036,-1.8537726,2.2195044,-2.9464588,-4.99371,0.20566922,-1.9952011,5.3681536,-2.5760722,2.6383452,-6.74979,-2.0769835,2.9991672,-4.5713925,-6.7585993,1.8487439,2.0999851,0.944689,5.9798694,0.46583733,-5.4570184,1.9438587,0.38163298,-12.323917,3.004324,4.8083906,0.57409185,9.147285,-10.135858,-5.026113,2.134089,-0.10414778,0.5502563,7.915315,-6.266925,5.537124,-2.9999123,4.3138037,0.9024268,-1.7698787,-8.696041,-3.6769137,-3.0555823,5.719576,-2.1108437,4.9248905,10.034607,7.2725153,10.819949,-1.6088638,10.080701,1.2597001,2.1597657,3.2828062,4.814631,-5.584979,-4.873367,4.336194,7.372492,-2.554698,7.50621,-7.444925,-4.2816615,0.19125865,-1.225752,5.214344,-7.014902,-0.61057836,4.4746428,1.983076,1.3626927,-0.36357346,4.467777,1.1639092
